"Id","Name","Date","Difficulty","Perception","Source","Uri","Series","Solution","Found best solution","Review","Related Topics","Comment","","","","","","","","","","","","","","","",""
"217","Contains Duplicate","23/05/2022","E","E","Leetcode","https://leetcode.com/problems/contains-duplicate/","Cracking Code Interview (1.1)","https://github.com/Jumaruba/LeetCode/blob/master/217.py","Y","N","","","","","","","","","","","","","","","","","",""
"242","Valid Anagram","23/05/2022","E","E","Leetcode","https://leetcode.com/problems/valid-anagram/","Cracking Code Interview (1.2)","https://github.com/Jumaruba/LeetCode/blob/master/242.py","Y","N","","","","","","","","","","","","","","","","","",""
"567","Permutation in String","23/05/2022","M","M","Leetcode","https://leetcode.com/problems/permutation-in-string/","Cracking Code Interview (1.2)","https://github.com/Jumaruba/LeetCode/blob/master/567.py","Y","Y","Permutations","","","","","","","","","","","","","","","","",""
"266","Palindrome Permutation","23/05/2022","E","E","Leetcode","https://leetcode.com/problems/palindrome-permutation/","Cracking Code Interview (1.4)","https://github.com/Jumaruba/LeetCode/blob/master/266.py","Y","N","","","","","","","","","","","","","","","","","",""
"161","One Edit Distance","23/05/2022","E","E","Leetcode","https://leetcode.com/problems/one-edit-distance/","Cracking Code Interview (1.5)","https://github.com/Jumaruba/LeetCode/blob/master/161.py","Y","N","","","","","","","","","","","","","","","","","",""
"28","Implement strStr()","30/05/2022","E","E","Leetcode","https://leetcode.com/explore/interview/card/amazon/76/array-and-strings/2968/","List of problems Amazon ","https://github.com/Jumaruba/LeetCode/blob/master/028.py","Y","N","","","","","","","","","","","","","","","","","",""
"20","Valid Parenthesis","30/05/2022","E","E","Leetcode","https://leetcode.com/problems/valid-parentheses/","List of problems Amazon ","https://github.com/Jumaruba/LeetCode/blob/master/020.py","Y","N","","","","","","","","","","","","","","","","","",""
"3","Longest Substring Without Repeating Characters","16/06/2022","M","E","Leetcode","https://leetcode.com/problems/longest-substring-without-repeating-characters/","Recomendation","https://github.com/Jumaruba/LeetCode/blob/master/003.py","Y","N","","","","","","","","","","","","","","","","","",""
"253","Meeting Rooms II","16/06/2022","M","E","Leetcode","https://leetcode.com/problems/meeting-rooms-ii/","List of problems Amazon ","https://github.com/Jumaruba/JmmCompiler/blob/master/src/registerAllocation/coloring/GraphColoring.java","Y","N","","","","","","","","","","","","","","","","","",""
"347","Top K Frequent Elements","16/06/2022","M","E","Leetcode","https://leetcode.com/problems/top-k-frequent-elements/","List of problems Amazon ","https://github.com/Jumaruba/LeetCode/blob/master/347.py","Y","N","","","","","","","","","","","","","","","","","",""
"15","3Sum","23/06/2022","M","E","Leetcode","https://leetcode.com/problems/3sum/","List of problems Amazon ","https://github.com/Jumaruba/LeetCode/blob/master/015.py","Y","N","","","","","","","","","","","","","","","","","",""
"443","String Compression","24/06/2022","M","M","Leetcode","https://leetcode.com/problems/string-compression/","List of problems Amazon ","https://github.com/Jumaruba/LeetCode/blob/master/443.py","Y","Y","","","","","","","","","","","","","","","","","",""
"1480","Running Sum of 1d Array","30/06/2022","E","E","Leetcode","https://leetcode.com/problems/running-sum-of-1d-array/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/1480.py","Y","N","","","","","","","","","","","","","","","","","",""
